Player Input,NPC Response
Do you know anything about Aela?,Kodlak Whitemane carries the weight of many years on his shoulders. His wisdom has guided the Companions through dark times.
I was wondering about namira?,Namira does not forgive trespassers.
"Bera, I want to understand better.","Warriors walk the path of the sword, but their hearts must remain pure"
"Whats the purpose, I want to understand better.",The purpose is to help you. What do you need?
Could you explain How do I become Thane?,"Help people, get noticed"
Can you tell me about ever had a one night stand?,Plenty. Some nights are meant to be forgotten.
Can you tell me about Blackreach?,"Sea of stars, or cavern of madness?"
What do I do after finding the key?,Use it to unlock the chest in the crypt. It will lead to the next stage of your journey.
"Redwater Den, I’ve heard, but I want to know more.","Veil of euphoria, or pit of slavery?"
Ever had a one-night stand go wrong?,Only once. Ended with me running out the window with nothing but a bedsheet.
"rimmen, Tell me more about this.",Rimmen does not forgive trespassers.
Do you know anything about You ever just stare at the wall?,"Yeah, it’s called processing life"
The Candlehearth Hall,"Inn of warmth, or haven of old sorrow?"
Do you know anything about leyawiin?,Leyawiin... it echoes through history.
Tell me.,"Once. Ended with me running half-naked from a castle, crossbow bolts flying."
Could you explain Describe the dragon priests?,"Ancient tombs hold their remains, still guarded by their undying servants"
"turn me inside out, I want to understand better.",Hope you survive.
Clarify.,"There is no High King, thanks to Ulfric Stormcloak."
The Five-Year War,"Struggle of borders, or mask of greed?"
I need to know about kiss?,Make it worth my time.
What is the best weapon,"Depends on your style, sword or axe."
"altar, Why is that important?","A place to worship, or to wait in vain?"
I was wondering about How do I defeat the frost giant??,"Use fire magic to weaken it, and aim for its legs to bring it down."
"what is the thalmor, Why is that important?","The Aldmeri Dominion’s enforcers, they despise Talos worship."
I was wondering about sigil stone?,Would you dare speak the name of sigil stone aloud?
sithis,Would you dare speak the name of sithis aloud?
"dark brotherhood, Tell me more about this.","Some worship dark brotherhood, others curse its name."
"Oblivion Gate, Tell me more about this.","Portal to power, or door to ruin?"
I'd like to learn about Why is gas so expensive?,Because the universe said suffering builds character
I need to know about Blood Magic?,"Strength of the damned, or cost of self?"
The Khajiit,"Children of moon, or traders of mystery?"
Do you know anything about How do I defeat the dark sorcerer??,"Use light magic to weaken him, then strike with your most powerful spell."
What should I do after speaking with the witch?,Follow her directions to the dark forest. The item you seek is hidden there.
Do you know anything about life?,A journey without a map.
Raven Rock,"Stronghold of ash, or haven of memory?"
blackreach,Blackreach holds truths best left buried.
How do I defeat the storm giant?,"Use magic that controls the wind, and strike when it’s grounded."
"Briarheart, Can you explain?","Heart of the forest, or cursed warrior?"
I'd like to learn about Ancarion?,"Agent of pride, or soldier of downfall?"
Explain.,The Moth Priests see what others cannot.
trade,Goods move where coin flows.
"who is the most legendary blacksmith, How does that work?","Eorlund, if you ask the Companions."
"Where is the crypt of silence, How does that work?",Beneath the bell tower that has not rung in a hundred years
"Why do I never hear my alarm, I want to understand better.",Your soul rejects responsibilities
Explain.,"The Thieves Guild operates in the shadows, but they have their own code of honor."
"What, I’ve heard, but I want to know more.","What, yourself"
"who is the jarl of windhelm, Can you explain?","Ulfric Stormcloak, unless something has changed."
shield,Defense of the weak or denial of truth?
eye of magnus,Eye of Magnus holds truths best left buried.
Where can I find some good skooma?,"You didn’t hear it from me, but Riften’s got a few dealers if you know where to look."
"Where can I find the best weapons?, Tell me more about this.","Skyforge steel in Whiterun is fine, but the true masters are the Daedra and the Dwemer."
Tell me.,"Area-of-effect attacks are dangerous, but you can avoid them by staying mobile. Watch their movements, and don’t stand still for too long."
summerset,None who enter summerset return unchanged.
"black marsh, Why is that important?",What did it cost to silence black marsh?
Do you know anything about How do I fight when outnumbered??,"Use the environment, don’t let them surround you, and pick them off slowly."
I need to know about Shut up?,"Make me, tough guy"
Tell me.,You better be ready.
How do I become a werewolf?,"Join the Companions, and their secret will soon be revealed to you."
"sigil stone, Why is that important?","When the stars fall, even sigil stone shall tremble."
I need to know about Hermaeus Mora?,"Keeper of secrets, or devourer of minds?"
"Skyborn Altar, Why is that important?","Worship of sky, or trick of dragons?"
"sotha sil, Give me more details.",Sotha Sil was written in fire and shadow.
Could you explain What do I do with the shattered lens?,Reforge it at dawn in the glassmaker’s kiln
who is the richest person in skyrim,The Black-Briars and the Silver-Bloods hold much power.
"Tell me about the Forgotten Vale, Tell me more about this.","A hidden valley, lost to time, where the last of the Snow Elves once dwelled"
Could you explain How do I defeat an enemy who’s immune to poison??,"Use fire or magic. Poison won’t work, but other elements will."
Can you tell me about Tired?,"Same, but here we are"
"Bruh, you serious",Dead serious
Explain.,The College of Winterhold has many fine mages. You may also find spell tomes in court wizard’s chambers.
"Black-Briar Mead, Tell me more about this.","Taste of wealth, or poison of greed?"
Step back,Why don’t you step forward and make me
