Player Input,NPC Response
who is boethiah,Daedric Prince of deceit and assassination.
Lami,Some ingredients only grow under moonlight
Kynareth,Wind and sky bless the pure of heart
ghostfence,Ghostfence holds truths best left buried.
destiny,"A road already walked, or yet to be made?"
Oblivion,"Realm of possibility, or prison of desire?"
How do I find the missing heir?,Check the abandoned castle in the north. They were last seen there.
What’s the best strategy for fighting at night?,"Use the darkness to hide, but stay alert for any surprise attacks."
drink,"Mead, ale, or something stronger?"
Where can I find the sacred crystal?,"It’s in the temple of light, hidden beneath the altar."
Mudcrab,"Tiny nuisance, or survivor of the swamp?"
who are the greybeards,The Greybeards are monks who devote themselves to the study of the Thu’um only speaking when absolutely necessary
dagger,"Silent and deadly, if used well."
Where can I find the flame lilies,"In the valley scorched by the dragon’s breath, they bloom once per moon"
Where is the entrance to the hidden temple?,It’s beneath the mountain pass. Look for a small cave entrance covered by moss.
Mannimarco,"King of Worms, or pretender god?"
How do I defeat the fire golem?,"Use water magic to extinguish its flames, then attack its core."
hunter,"Chasing prey, sometimes people."
snow elves,Even the gods fear snow elves.
Haafingar,"Oldest hold, or seat of decay?"
black marsh,Black Marsh was written in fire and shadow.
Runa,"Strength is a choice, not an inheritance"
daedra,"Is daedra a legend, or a warning?"
Tell me of the Night Mother.,"The Night Mother is the matron of the Dark Brotherhood, speaking the words of Sithis to guide her followers."
How do I fight an opponent with high defense?,Wear them down with strong attacks or magic.
vaermina,"Is vaermina the end, or merely a beginning?"
Brynjolf,"To reach Riften, cross the marshes to the southeast, you'll find the city nestled near the water"
greybeards,Greybeards do not forgive trespassers.
ancestor,"Do they watch to guide, or to judge?"
What should I do with the enchanted pendant?,Take it to the shrine of the goddess. She will reveal its true power.
where am i,"You stand in Tamriel, land of war and prophecy."
choke me,Say ‘please’ first.
Vera,"The key to victory is not the sword, but the mind that wields it"
The Oblivion Crisis,"Time of end, or chance of rebirth?"
Key,"Tool of freedom, or symbol of choice?"
hermaeus mora,Hermaeus Mora holds truths best left buried.
blacklight,Blacklight was written in fire and shadow.
Who are the Black-Blood Marauders?,"Pirates who infest the seas, known for their ruthlessness."
Where,Look harder
Where is High Hrothgar,"Up the 7,000 steps, past Ivarstead."
Harkon,"Vampire or cattle, choose swiftly"
Volsung,Travel light and far with my gift
Marauder,"Hammer of chaos, or echo of rage?"
Who is the best blacksmith,"Eorlund Gray-Mane, no question."
sheogorath,What did it cost to silence sheogorath?
Markarth,"City of stone, or prison of secrets?"
Septimus Signus,"Seeker of truth, or madman of void?"
Erik,"To find the ancient ruins of Blackreach, head south and descend into the depths beneath the earth"
servant,Loyal or enslaved? That depends on who you serve.
Why do I always feel lost,Because Skyrim wasn’t designed for people with bad directions
hircine,"Hunt eternal, or path to the primal self?"
