Player Input,NPC Response
More info?,"And yet, you won’t leave"
"coldharbour, What exactly does that mean?",Coldharbour was written in fire and shadow.
Could you explain Vidar?,The road to greatness is long and full of sacrifice
"Aedra, Can you explain?","Creators of the world, or distant deities?"
who is the best warrior,Some say the Ebony Warrior. Others say you.
"The Hero of Kvatch, Tell me more about this.","Flame bearer, or mask of the myth?"
Tell me.,Only if you want to be executed.
Details?,"Many are willing, if you wear an Amulet of Mara."
"elderscrolls, I want to understand better.",Would you dare speak the name of elderscrolls aloud?
Grosta,A wise warrior knows when to fight and when to wait
Serana,"Daughter of cold, or light in shadow?"
spell,Tool of power or path to downfall?
"Bracers, How does that work?","Guard of arms, or symbol of chains?"
Clarify.,"Lydia is loyal, but others may surprise you."
I was wondering about charcoal?,"A tool for writing, or for fire."
I was wondering about how do i survive?,By making sure others don’t.
Do you know anything about Where’s the Thieves Guild?,Look under Riften
"Long time no see, Tell me more about this.","Indeed, it has been a while. What brings you back?"
"Who was Reman Cyrodiil?, I want to understand better.",Reman Cyrodiil was the warrior-king who united Tamriel after defeating the Akaviri.
"Where is the hidden cave?, I want to understand better.",It’s behind the waterfall near the northern cliffs. The entrance is obscured by vines.
Could you explain book?,"Words of wisdom, or curse bound in leather?"
I'd like to learn about What’s the next step after retrieving the stone??,Take it to the altar in the temple. It will unlock the next part of your journey.
Details?,"Use a grindstone, and better materials make stronger weapons."
Do you know anything about where is everyone?,gone or simply hidden
"Krosis, Give me more details.","Silence given form, or deceit immortal?"
Dreamstride,"Walk of spirit, or illusion of power?"
"Coldharbour, Can you explain?","Echo of Nirn, or nightmare in frost?"
what is the pocket guide to the empire,The Pocket Guide is an Imperial text detailing the lands peoples and politics of Tamriel
"Where can I find the lost artifact?, I want to understand better.",It’s hidden in the cave beneath the cliff. Be prepared to face the traps.
Where can I find the hidden treasure?,It’s buried beneath the ruins of the old castle. Look for the hidden trapdoor.
Clarify.,Use sunlight or silver. He’ll be vulnerable under both.
I need to know about do you like the vampire lords?,Vampire Lords are powerful and can use magic. Use fire or silver weapons to defeat them.
"Martin Septim, What exactly does that mean?","Sacrifice of blood, or light of hope?"
night mother,Not even time forgets the horrors of night mother.
Auriel’s Bow,"Light in shadow, or divine arrow?"
Erik,"A sword may win battles, but wisdom wins wars"
Could you explain why do people lie?,because the truth is too heavy
Do you know anything about sheogorath?,"Some worship sheogorath, others curse its name."
I need to know about summerset?,None who enter summerset return unchanged.
"Where can I find the magical crystal?, I’ve heard, but I want to know more.","It’s in the mines, deep within the mountain. Be cautious of the creatures guarding it."
Do you know anything about shield?,"Good for blocking, better for bashing."
hermit,"Some seek knowledge, others seek solitude."
"Daedra, How does that work?","Agents of destruction, or sources of power?"
"Why do Nords hate elves, What exactly does that mean?",Old grudges die hard.
"are you watching me, Give me more details.",always
How do I find the secret vault?,It’s hidden beneath the city. Follow the old sewer tunnels to its entrance.
Do you know anything about Windhelm?,"Home of the proud, or city of rebellion?"
"vaermina, I want to understand better.",Vaermina was written in fire and shadow.
do you like the lurkers,Lurkers are powerful and can use magic. They are best avoided.
Details?,They got that sixth sense for troublemakers
Tell me.,You must activate the wind totems scattered across the cliffs
I need to know about scout?,"The first to see, and sometimes the last."
Explain the origins of lycanthropy,"Said to be a gift or curse from Hircine, granted to those who embrace the hunt"
I was wondering about Where can I find the lost crown??,"It’s in the crypt, guarded by the spirits of the past kings."
I was wondering about Galmar Stone-Fist?,"Fist of loyalty, or hammer of wrath?"
"whats the fastest way to get laid, I’ve heard, but I want to know more.",gold or a good story both work wonders
Can you tell me about falmer?,Falmer was written in fire and shadow.
Explain.,"Confidence, a little mead, and knowing when to shut up."
I'd like to learn about do you like the golden saints?,Golden Saints are powerful and can use magic. Use magic resistance and close the distance quickly.
I need to know about you ever been too loud?,Enough to get complaints from the next room.
Clarify.,"Some worship sigil stone, others curse its name."
what is the most dangerous place,"Blackreach, if you can find it."
Sepulcher,"Resting vault, or trial of devotion?"
who is jyggalag,"The Prince of Order, once cursed to be Sheogorath."
I need to know about battle?,End of peace or birth of legend?
I'd like to learn about Nahkriin?,I guard the portal to your destiny
"Describe the Wild Hunt, Give me more details.",A Bosmeri ritual that transforms participants into mindless beasts of destruction
Baldor Iron-Shaper,"Blacksmith of winds, or heir of craft?"
"move, Give me more details.",I move when I choose.
More info?,Clavicus Vile is the Daedric Prince of Bargains and Wishes often granting power at a cost
Explain.,"Because effort makes things taste worse—scientific fact, probably"
What’s the best way to fight with a dagger?,Quick and precise strikes. Stay fast and keep moving.
Ever had a drink so strong you forgot your own name?,"Oh, I have… and let me tell you, waking up in the wrong bed is the least of your worries."
Tell me.,Not even time forgets the horrors of uriel septim.
I'd like to learn about Gunnar?,"If you seek Morthal, head southeast and follow the roads through the thick marshlands"
"Orc, I want to understand better.","Savage brute, or misunderstood warrior?"
I need to know about whats going on?,"Not much, just here to help."
I'd like to learn about Why you got so many tabs open?,Because my brain works the same way
Gunnar,"If you're looking for treasure, head to the east across the river, the ruins will be marked by a standing stone"
"Brianna, I want to understand better.","For Markarth, head west, follow the river through the hills, and you will find the stone city"
I was wondering about What are werewolves??,"Men and mer cursed with the blood of the beast. Some embrace it, others seek a cure."
What should I do after finding the golden chalice?,Take it to the high priest. They will know the significance of the relic.
"Brynjolf, Why is that important?","The path to Riften lies east, cross the hills and the marshes to find the city by the water"
road,The safest path is often the longest.
Tell me.,"Miracle of balance, or break in truth?"
Apocrypha,"Library of oblivion, or ocean of thoughts?"
Clarify.,"Smith of skill, or daughter in shadow?"
High Elves,"Masters of magic, or prisoners of tradition?"
I need to know about What’s the secret to a successful counterattack??,"Patience. Wait for them to strike and then time your counter perfectly. If you can block or dodge, you can land a devastating blow."
Tell me.,The one where I end up on top.
Why are there so many Draugr,"They are the dead, cursed to never rest."
Who was Pelinal Whitestrake?,Pelinal Whitestrake was a warlord and champion of Saint Alessia who helped free humans from Ayleid rule.
"What should I do with the enchanted book?, I’ve heard, but I want to know more.",Take it to the library in the capital. The scholars there will be able to decipher it.
Explain.,Locked away or guarded by something big
Details?,"The first city of men in Skyrim, destroyed by the elves in the Night of Tears."
Frost Troll,Fire and fear keep them at bay
I need to know about thief?,Keep your coin purse close.
You deaf,"Nah, just ignoring you"
"Arivanya, I’ve heard, but I want to know more.","Every battle teaches something new, if you pay attention"
I need to know about Brynn?,"You must fight with your heart, not just your sword"
I need to know about Where is the best place to fight?,"In the pits, if you can find them."
More info?,Would you dare speak the name of cradlecrush rock aloud?
"who is watching us, What exactly does that mean?",someone always is
Clarify.,Sigil Stone was written in fire and shadow.
Almalexia,"Mother of mercy, or tyrant divine?"
More info?,"Gladly, once you shut up"
Where can I find the lost hero’s shield?,It’s in the ruined fortress to the south. Look for it in the barracks.
Tell me.,you will have one less voice to guide you
"Galmar, Why is that important?","Tullius may think he’s in control, but he doesn’t understand Skyrim. Ulfric will show him the true might of the Nords."
"Where can I find the cure for the disease?, Tell me more about this.",The cure is in the herb garden on the cliffs. Find the healer there.
"How do I defeat the thunder giant?, Why is that important?","Use earth magic to ground it, then strike when it’s stunned."
"Could you explain Yo, hurry up?","Patience ain’t your thing, huh?"
"Adoption, I want to understand better.","Hope for a child, or duty of love?"
Jarl Balgruuf,"Voice of reason, or puppet of politics?"
I was wondering about Aetherium?,"Lost brilliance, or cursed ambition?"
"we meet again, Give me more details.","Yes, fate has brought us together once more."
I'd like to learn about Ever made a bet you regretted??,I once bet I could drink more than a Nord. Woke up three days later.
"Dragontooth Crater, Why is that important?","Maw of fire, or grave of might?"
Do you know anything about bye?,"Take care, and may the gods watch over you."
I was wondering about college of winterhold?,Have you ever walked the ruins of college of winterhold?
Lydia,"Steadfast companion, or burden of loyalty?"
"boethiah, I want to understand better.",The winds still carry the screams from boethiah.
Explain.,"Blades of justice, or daggers of exile?"
